2448270.500000000, A.D. 1991-Jan-14 00:00:00.0000, -3.856903226743467E-01, -4.887997806924370E+00, -1.737052103655606E-01,  4.400821100889062E-03,  1.349543749664036E-03, -6.057419366072477E-04,  2.833623335545899E-02,  4.906266715702505E+00, -1.669028804000145E-03,
2448284.500000000, A.D. 1991-Jan-28 00:00:00.0000, -3.239881689631985E-01, -4.867900290102043E+00, -1.821420304272473E-01,  4.413439873447829E-03,  1.521837526991639E-03, -5.994527742322839E-04,  2.819647874841825E-02,  4.882068955601900E+00, -1.787944860364682E-03,
2448298.500000000, A.D. 1991-Feb-11 00:00:00.0000, -2.621234399228976E-01, -4.845377466212877E+00, -1.904880268414288E-01,  4.424036878926073E-03,  1.696036565458435E-03, -5.927647312893496E-04,  2.804707136960672E-02,  4.856199869878759E+00, -1.907801734977200E-03,
2448312.500000000, A.D. 1991-Feb-25 00:00:00.0000, -2.001248489663454E-01, -4.820401788175187E+00, -1.987375109329853E-01,  4.432552301003914E-03,  1.872266825920451E-03, -5.856626439036702E-04,  2.788793214912590E-02,  4.828645768004542E+00, -2.028674197679683E-03,
2448326.500000000, A.D. 1991-Mar-11 00:00:00.0000, -1.380220086210056E-01, -4.792943901917263E+00, -2.068845712783955E-01,  4.438917608668868E-03,  2.050659965991300E-03, -5.781299036028146E-04,  2.771897586079727E-02,  4.799391893523876E+00, -2.150639200777333E-03,
2448340.500000000, A.D. 1991-Mar-25 00:00:00.0000, -7.584552412225271E-02, -4.762972578440929E+00, -2.149230569037184E-01,  4.443061144905639E-03,  2.231353655388269E-03, -5.701489205459108E-04,  2.754011102082847E-02,  4.768422406509144E+00, -2.273775999996649E-03,
2448354.500000000, A.D. 1991-Apr-08 00:00:00.0000, -1.362704521794813E-02, -4.730454520494270E+00, -2.228465536297626E-01,  4.444900249495498E-03,  2.414506642216338E-03, -5.616991295265762E-04,  2.735123909632826E-02,  4.735720246519077E+00, -2.398180511249774E-03,
2448368.500000000, A.D. 1991-Apr-22 00:00:00.0000,  4.860043274430218E-02, -4.695354172240643E+00, -2.306483370935506E-01,  4.444328580406576E-03,  2.600278529823099E-03, -5.527574205896923E-04,  2.715225377323633E-02,  4.701267005844761E+00, -2.523945089079186E-03,
2448382.500000000, A.D. 1991-May-06 00:00:00.0000,  1.108023835210338E-01, -4.657633741416951E+00, -2.383213528463121E-01,  4.441234013475790E-03,  2.788832268385890E-03, -5.432995067152151E-04,  2.694304143323836E-02,  4.665043012084895E+00, -2.651160997323836E-03,
2448396.500000000, A.D. 1991-May-20 00:00:00.0000,  1.729426357631941E-01, -4.617253076904358E+00, -2.458581900870948E-01,  4.435492656135289E-03,  2.980341701174669E-03, -5.332986769202396E-04,  2.672348083277061E-02,  4.627027272567171E+00, -2.779925315740529E-03,
